Type,Name,Display on form,Managed,AD group,HRApproval,ComplianceApproval,InfoSecApproval,Description
app,saas,No,No,,No,No,No,"Applications that pertain to analytics, including business intelligence and statistical analysis software, but that do not pertain to IoT analytics"
app,media,No,No,,No,No,No,"Applications for audio-streaming services, internet radio, and similar protocols"
app,,No,No,,No,No,No,"Authentication services, protocols, and related application functions"
app,,No,No,,No,No,No,"Content-management systems, knowledge management software, online form builders, and website builder applications and services"
app,,No,No,,No,No,No,"Help desk, chatbots, and live chat systems, contact centers, and other applications related to customer service"
app,,No,No,,No,No,No,"Cloud and on-premises database applications, services, and protocols"
app,saas,No,No,,No,No,No,"Consent management platforms, cookie tracking software, privacy policy generator software and other privacy management applications"
app,saas,No,No,,No,No,No,"Graphical and visual design, creative presentations, infographics, and similar software and services"
app,saas,No,No,,No,No,No,"Application and web-development software, integrated development environments, and DevOps applications"
app,"saas, collaboration",Yes,Yes,UG-email,No,Yes,No,"Online and on-premises email software and SaaS services, as well s email-related protocols"
app,,No,No,,No,No,No,"VPN services, software, and protocols, as well as encrypted traffic that can tunnel other apps"
app,,No,No,,No,No,No,SaaS and on-premises enterprise resource planning (ERP) and customer relationship management (CRM) systems and software
app,"general internet, saas",Yes,Yes,UG-file-sharing,No,Yes,No,"File storage and sharing applications, protocols, and cloud or SaaS services and their functions"
app,media,No,No,,No,No,No,Online games and game-related services
app,"business systems, saas",No,No,,No,No,No,Business related applications that do not fit into other subcategories
app,,No,No,,No,No,No,SaaS and on-premises human resources (HR) systems and HR support software
app,,No,No,,No,No,No,"Industrial control and operational technology (OT) communication protocols and applications, programmable logic controller (PLC) engineering software, and supervisory control and data acquisition (SCADA) systems and related applications"
app,,No,No,,No,No,No,"LAN, WAN, and cloud infrastructure protocols and applications"
app,"collaboration, saas",Yes,Yes,UG-instant-messaging,No,Yes,No,Instant messaging and chat services and applications
app,"collaboration, saas",No,No,,No,No,No,Internet conferencing and business-grade video meeting software and services
app,,No,No,,No,No,No,"General internet utilities, software, and protocols that don�t fit into other internet subcategories"
app,,No,No,,No,No,No,Internet Protocol (IP) stack basic network protocols
app,,No,No,,No,No,No,"Monitoring software, AIOps, data warehouse solutions"
app,saas,No,No,,No,No,No,Information technology (IT) and IT workforce management software and SaaS services
app,,No,No,,No,No,No,"Information technology (IT) cloud and on-premises assets, configurations, and services management"
app,"business systems, saas",No,No,,No,No,No,Marketing and marketing-research and related support software and SaaS services
app,,No,No,,No,No,No,Medical and hospital devices and systems protocols and applications
app,"business systems, saas",Yes,Yes,UG-office-programs,No,Yes,No,"Document, document flow, and office collaboration software and SaaS applications"
app,"media, saas",No,No,,No,No,No,"Photo and video software, streaming services and related protocols and applications"
app,,No,No,,No,No,No,Proxy protocols and software and internet anonymizers and proxy-avoidance tools
app,,No,No,,No,No,No,"Remote-access, remote-control, and remote-assist software and protocols"
app,,No,No,,No,No,No,Networking routing protocols
app,saas,No,No,,No,No,No,"Applications and services related to web-based security, such as data security, application security, and cloud security"
app,"collaboration, saas",No,No,,No,No,No,"Business social networking and collaboration tools, software, software features, and SaaS services"
app,"collaboration, saas",No,No,,No,No,No,Social networks and social networking tools and software features
app,"business systems, saas",No,No,,No,No,No,Application developing and deployment software and SaaS services
app,,No,No,,No,No,No,"Applications that require network connectivity for update purposes only, software-update functional applications, and update management systems"
