Source User,Application,App Container,App Sub Category,Bytes
example_domain\mr.dds,outlook-web-online,ms-office365,email,309756451984
example_domain\mr.dds,web-browsing,,internet-utility,591261321
example_domain\mr.dds,ssl,,encrypted-tunnel,334145579
example_domain\mr.dds,sharepoint-online,ms-office365,social-business,299739764
example_domain\mr.dds,ms-teams,ms-office365,office-programs,196884477
example_domain\mr.dds,ms-onedrive-business,ms-office365,file-sharing,93651845
example_domain\mr.dds,google-base,,internet-utility,85901790
example_domain\mr.dds,zoom-meeting,zoom,internet-conferencing,84109613
example_domain\mr.dds,zoom-phone,zoom,internet-conferencing,51991315
example_domain\mr.dds,giphy-base,giphy,photo-video,36755026
example_domain\mr.dds,zoom-base,zoom,internet-conferencing,31839520
example_domain\mr.dds,windows-push-notifications,,internet-utility,8398236
example_domain\mr.dds,websocket,,internet-utility,7417009
example_domain\mr.dds,workday-base,workday,general-business,4173518
example_domain\mr.dds,ms-delve,,office-programs,1934722
example_domain\mr.dds,stun,,infrastructure,1178445
example_domain\mr.dds,ms-office365-base,ms-office365,office-programs,743104
example_domain\mr.dds,linkedin-base,linkedin,social-networking,263087
example_domain\mr.dds,cust-beyond-trust-ssl,,remote-access,245758
example_domain\mr.dds,brightcove,,photo-video,191372
example_domain\mr.dds,boxnet-base,boxnet,file-sharing,181578
example_domain\mr.dds,cust-greenhouse-s3,,general-business,146947
example_domain\mr.dds,pingone,,auth-service,142293
example_domain\mr.dds,ms-powerpoint-online,ms-office365,office-programs,141520
example_domain\mr.dds,facebook-base,facebook,social-networking,85276
example_domain\veronica.dillon,outlook-web-online,ms-office365,email,233099524898
example_domain\veronica.dillon,web-browsing,,internet-utility,844548716
example_domain\veronica.dillon,ssl,,encrypted-tunnel,355270082
example_domain\veronica.dillon,sharepoint-online,ms-office365,social-business,294471989
example_domain\veronica.dillon,zoom-meeting,zoom,internet-conferencing,228208333
example_domain\veronica.dillon,ms-teams,ms-office365,office-programs,204888826
example_domain\veronica.dillon,smartsheet-base,smartsheet,social-business,129452003
example_domain\veronica.dillon,crowdstrike,,management,97088480
example_domain\veronica.dillon,google-base,,internet-utility,95762016
example_domain\veronica.dillon,ms-onedrive-business,ms-office365,file-sharing,52577467
example_domain\veronica.dillon,zoom-phone,zoom,internet-conferencing,34633609
example_domain\veronica.dillon,ms-powerpoint-online,ms-office365,office-programs,28015865
example_domain\veronica.dillon,zoom-base,zoom,internet-conferencing,18390243
example_domain\veronica.dillon,giphy-base,giphy,photo-video,13329486
example_domain\veronica.dillon,windows-push-notifications,,internet-utility,10379764
example_domain\veronica.dillon,youtube-base,youtube,photo-video,7248793
example_domain\veronica.dillon,ms-delve,,office-programs,3837693
example_domain\veronica.dillon,cloudinary-base,cloudinary,photo-video,2696754
example_domain\veronica.dillon,boxnet-base,boxnet,file-sharing,2659414
example_domain\veronica.dillon,sway,,office-programs,2236718
example_domain\veronica.dillon,facebook-base,facebook,social-networking,1404167
example_domain\veronica.dillon,stun,,infrastructure,985324
example_domain\veronica.dillon,workday-base,workday,general-business,862484
example_domain\veronica.dillon,ms-office365-base,ms-office365,office-programs,609618
example_domain\veronica.dillon,new-relic,,management,522485
example_domain\veronica.dillon,linkedin-base,linkedin,social-networking,403468
example_domain\veronica.dillon,google-maps,,internet-utility,326162
example_domain\veronica.dillon,twitter-base,twitter,social-networking,238582
example_domain\veronica.dillon,websocket,,internet-utility,116243
example_domain\isaac.garcia,ms-visual-studio-tfs-base,ms-visual-studio-tfs,management,102731249382
example_domain\isaac.garcia,ssl,,encrypted-tunnel,28705233526
example_domain\isaac.garcia,windows-azure-base,windows-azure,general-business,22389942948
example_domain\isaac.garcia,ms-update,,software-update,8150904253
example_domain\isaac.garcia,outlook-web-online,ms-office365,email,6046717363
example_domain\isaac.garcia,web-browsing,,internet-utility,2127352018
example_domain\isaac.garcia,crowdstrike,,management,1585381248
example_domain\isaac.garcia,rtp-audio,rtp,audio-streaming,1154464833
example_domain\isaac.garcia,microsoft-intune,,it-management,629276442
example_domain\isaac.garcia,stun,,infrastructure,400907384
example_domain\isaac.garcia,sharepoint-online,ms-office365,social-business,354312280
example_domain\isaac.garcia,ms-teams,ms-office365,office-programs,265406548
example_domain\isaac.garcia,google-base,,internet-utility,120464582
example_domain\isaac.garcia,ms-onedrive-business,ms-office365,file-sharing,39435170
example_domain\isaac.garcia,ms-office365-base,ms-office365,office-programs,38936663
example_domain\isaac.garcia,windows-defender-atp-endpoint,windows-defender-atp,management,14630719
example_domain\isaac.garcia,azure-log-analytics,windows-azure,general-business,14345788
example_domain\isaac.garcia,windows-push-notifications,,internet-utility,13726537
example_domain\isaac.garcia,openai-chatgpt,openai,artificial-intelligence,5996220
example_domain\isaac.garcia,github-copilot,github,artificial-intelligence,5519986
example_domain\isaac.garcia,youtube-base,youtube,photo-video,3873102
example_domain\isaac.garcia,ms-delve,,office-programs,2125244
example_domain\isaac.garcia,jamf,,management,1898743
example_domain\isaac.garcia,openai-base,openai,artificial-intelligence,792726
example_domain\isaac.garcia,twitter-base,twitter,social-networking,658513
example_domain\isaac.garcia,stackoverflow-base,stackoverflow,social-networking,354696
example_domain\isaac.garcia,facebook-base,facebook,social-networking,335194
example_domain\isaac.garcia,pagerduty,,management,308455
example_domain\isaac.garcia,linkedin-base,linkedin,social-networking,268258
example_domain\isaac.garcia,bing-maps,,internet-utility,145161
example_domain\isaac.garcia,github-base,github,management,144763
example_domain\john.jones,outlook-web-online,ms-office365,email,147545297043
example_domain\john.jones,web-browsing,,internet-utility,274048094
example_domain\john.jones,ssl,,encrypted-tunnel,262569006
example_domain\john.jones,sharepoint-online,ms-office365,social-business,237165723
example_domain\john.jones,ms-teams,ms-office365,office-programs,211021983
example_domain\john.jones,smartsheet-base,smartsheet,social-business,206659079
example_domain\john.jones,zoom-meeting,zoom,internet-conferencing,123244149
example_domain\john.jones,google-base,,internet-utility,119589645
example_domain\john.jones,giphy-base,giphy,photo-video,37258877
example_domain\john.jones,zoom-base,zoom,internet-conferencing,14312490
example_domain\john.jones,windows-push-notifications,,internet-utility,4675570
example_domain\john.jones,zoom-phone,zoom,internet-conferencing,3805863
example_domain\john.jones,websocket,,internet-utility,3418074
example_domain\john.jones,ms-delve,,office-programs,2582826
example_domain\john.jones,workday-base,workday,general-business,2376742
example_domain\john.jones,youtube-base,youtube,photo-video,968030
example_domain\john.jones,ms-onedrive-business,ms-office365,file-sharing,673190
example_domain\john.jones,microsoft-intune,,it-management,425573
example_domain\john.jones,stun,,infrastructure,395319
example_domain\john.jones,ms-office365-base,ms-office365,office-programs,309822
example_domain\john.jones,linkedin-base,linkedin,social-networking,285584
example_domain\john.jones,facebook-base,facebook,social-networking,191114
example_domain\john.jones,boxnet-base,boxnet,file-sharing,71841
example_domain\john.jones,pingone,,auth-service,71448
example_domain\penny.hester,outlook-web-online,ms-office365,email,99688821541
example_domain\penny.hester,ssl,,encrypted-tunnel,12753835924
example_domain\penny.hester,web-browsing,,internet-utility,1474592483
example_domain\penny.hester,sharepoint-online,ms-office365,social-business,369416714
example_domain\penny.hester,crowdstrike,,management,297145889
example_domain\penny.hester,rtp-audio,rtp,audio-streaming,281145210
example_domain\penny.hester,ms-update,,software-update,195073645
example_domain\penny.hester,stun,,infrastructure,145632155
example_domain\penny.hester,google-base,,internet-utility,136544285
example_domain\penny.hester,github-base,github,management,113820545
example_domain\penny.hester,ms-teams,ms-office365,office-programs,105678686
example_domain\penny.hester,azure-log-analytics,windows-azure,general-business,76446573
example_domain\penny.hester,microsoft-intune,,it-management,35940010
example_domain\penny.hester,new-relic,,management,13924704
example_domain\penny.hester,websocket,,internet-utility,11872262
example_domain\penny.hester,windows-push-notifications,,internet-utility,11583530
example_domain\penny.hester,service-now-base,service-now,management,11397551
example_domain\penny.hester,http-video,,photo-video,9061950
example_domain\penny.hester,youtube-base,youtube,photo-video,8409560
example_domain\penny.hester,google-app-engine,,internet-utility,4410729
example_domain\penny.hester,ms-onedrive-business,ms-office365,file-sharing,4399402
example_domain\penny.hester,ms-delve,,office-programs,3975518
example_domain\penny.hester,amazon-aws-console,,management,3733800
example_domain\penny.hester,boxnet-base,boxnet,file-sharing,2258383
example_domain\penny.hester,ms-office365-base,ms-office365,office-programs,2248256
example_domain\penny.hester,windows-azure-base,windows-azure,general-business,911826
example_domain\penny.hester,stackoverflow-base,stackoverflow,social-networking,585197
example_domain\penny.hester,zoom-base,zoom,internet-conferencing,152015
example_domain\penny.hester,pingone,,auth-service,149897
example_domain\penny.hester,gist,github,management,113686
example_domain\penny.hester,okta,,auth-service,112939
example_domain\penny.hester,cloudinary-base,cloudinary,photo-video,85429
example_domain\penny.hester,disqus,,web-posting,59812
