Source User,Application,App Container,App Sub Category,IP Protocol,Destination Port,Bytes
example_domain\mr.dds,outlook-web-online,ms-office365,email,tcp,443,3.10E+11
example_domain\mr.dds,web-browsing,,internet-utility,tcp,443,591261321
example_domain\mr.dds,ssl,,encrypted-tunnel,tcp,443,334145579
example_domain\mr.dds,sharepoint-online,ms-office365,social-business,tcp,443,299739764
example_domain\mr.dds,ms-teams,ms-office365,office-programs,tcp,443,196884477
example_domain\mr.dds,ms-onedrive-business,ms-office365,file-sharing,tcp,443,93651845
example_domain\mr.dds,google-base,,internet-utility,tcp,443,85901790
example_domain\mr.dds,zoom-meeting,zoom,internet-conferencing,tcp,443,84109613
example_domain\mr.dds,zoom-phone,zoom,internet-conferencing,tcp,443,51991315
example_domain\mr.dds,giphy-base,giphy,photo-video,tcp,443,36755026
example_domain\mr.dds,zoom-base,zoom,internet-conferencing,tcp,443,31839520
example_domain\mr.dds,windows-push-notifications,,internet-utility,tcp,443,8398236
example_domain\mr.dds,websocket,,internet-utility,tcp,443,7417009
example_domain\mr.dds,workday-base,workday,general-business,tcp,443,4173518
example_domain\mr.dds,ms-delve,,office-programs,tcp,443,1934722
example_domain\mr.dds,stun,,infrastructure,tcp,443,1178445
example_domain\mr.dds,ms-office365-base,ms-office365,office-programs,tcp,443,743104
example_domain\mr.dds,linkedin-base,linkedin,social-networking,tcp,443,263087
example_domain\mr.dds,cust-beyond-trust-ssl,,remote-access,tcp,443,245758
example_domain\mr.dds,brightcove,,photo-video,tcp,443,191372
example_domain\mr.dds,boxnet-base,boxnet,file-sharing,tcp,443,181578
example_domain\mr.dds,cust-greenhouse-s3,,general-business,tcp,443,146947
example_domain\mr.dds,pingone,,auth-service,tcp,443,142293
example_domain\mr.dds,ms-powerpoint-online,ms-office365,office-programs,tcp,443,141520
example_domain\mr.dds,facebook-base,facebook,social-networking,tcp,443,85276
example_domain\veronica.dillon,outlook-web-online,ms-office365,email,tcp,443,2.33E+11
example_domain\veronica.dillon,web-browsing,,internet-utility,tcp,443,844548716
example_domain\veronica.dillon,ssl,,encrypted-tunnel,tcp,443,355270082
example_domain\veronica.dillon,sharepoint-online,ms-office365,social-business,tcp,443,294471989
example_domain\veronica.dillon,zoom-meeting,zoom,internet-conferencing,tcp,443,228208333
example_domain\veronica.dillon,ms-teams,ms-office365,office-programs,tcp,443,204888826
example_domain\veronica.dillon,smartsheet-base,smartsheet,social-business,tcp,443,129452003
example_domain\veronica.dillon,crowdstrike,,management,tcp,443,97088480
example_domain\veronica.dillon,google-base,,internet-utility,tcp,443,95762016
example_domain\veronica.dillon,ms-onedrive-business,ms-office365,file-sharing,tcp,443,52577467
example_domain\veronica.dillon,zoom-phone,zoom,internet-conferencing,tcp,443,34633609
example_domain\veronica.dillon,ms-powerpoint-online,ms-office365,office-programs,tcp,443,28015865
example_domain\veronica.dillon,zoom-base,zoom,internet-conferencing,tcp,443,18390243
example_domain\veronica.dillon,giphy-base,giphy,photo-video,tcp,443,13329486
example_domain\veronica.dillon,windows-push-notifications,,internet-utility,tcp,443,10379764
example_domain\veronica.dillon,youtube-base,youtube,photo-video,tcp,443,7248793
example_domain\veronica.dillon,ms-delve,,office-programs,tcp,443,3837693
example_domain\veronica.dillon,cloudinary-base,cloudinary,photo-video,tcp,443,2696754
example_domain\veronica.dillon,boxnet-base,boxnet,file-sharing,tcp,443,2659414
example_domain\veronica.dillon,sway,,office-programs,tcp,443,2236718
example_domain\veronica.dillon,facebook-base,facebook,social-networking,tcp,443,1404167
example_domain\veronica.dillon,stun,,infrastructure,tcp,443,985324
example_domain\veronica.dillon,workday-base,workday,general-business,tcp,443,862484
example_domain\veronica.dillon,ms-office365-base,ms-office365,office-programs,tcp,443,609618
example_domain\veronica.dillon,new-relic,,management,tcp,443,522485
example_domain\veronica.dillon,linkedin-base,linkedin,social-networking,tcp,443,403468
example_domain\veronica.dillon,google-maps,,internet-utility,tcp,443,326162
example_domain\veronica.dillon,twitter-base,twitter,social-networking,tcp,443,238582
example_domain\veronica.dillon,websocket,,internet-utility,tcp,443,116243
example_domain\isaac.garcia,ms-visual-studio-tfs-base,ms-visual-studio-tfs,management,tcp,443,1.03E+11
example_domain\isaac.garcia,ssl,,encrypted-tunnel,tcp,443,28705233526
example_domain\isaac.garcia,windows-azure-base,windows-azure,general-business,tcp,443,22389942948
example_domain\isaac.garcia,ms-update,,software-update,tcp,443,8150904253
example_domain\isaac.garcia,outlook-web-online,ms-office365,email,tcp,443,6046717363
example_domain\isaac.garcia,web-browsing,,internet-utility,tcp,443,2127352018
example_domain\isaac.garcia,crowdstrike,,management,tcp,443,1585381248
example_domain\isaac.garcia,rtp-audio,rtp,audio-streaming,udp,6000,1154464833
example_domain\isaac.garcia,microsoft-intune,,it-management,tcp,443,629276442
example_domain\isaac.garcia,stun,,infrastructure,tcp,443,400907384
example_domain\isaac.garcia,sharepoint-online,ms-office365,social-business,tcp,443,354312280
example_domain\isaac.garcia,ms-teams,ms-office365,office-programs,tcp,443,265406548
example_domain\isaac.garcia,google-base,,internet-utility,tcp,443,120464582
example_domain\isaac.garcia,ms-onedrive-business,ms-office365,file-sharing,tcp,443,39435170
example_domain\isaac.garcia,ms-office365-base,ms-office365,office-programs,tcp,443,38936663
example_domain\isaac.garcia,windows-defender-atp-endpoint,windows-defender-atp,management,tcp,443,14630719
example_domain\isaac.garcia,azure-log-analytics,windows-azure,general-business,tcp,443,14345788
example_domain\isaac.garcia,windows-push-notifications,,internet-utility,tcp,443,13726537
example_domain\isaac.garcia,openai-chatgpt,openai,artificial-intelligence,tcp,443,5996220
example_domain\isaac.garcia,github-copilot,github,artificial-intelligence,tcp,443,5519986
example_domain\isaac.garcia,youtube-base,youtube,photo-video,tcp,443,3873102
example_domain\isaac.garcia,ms-delve,,office-programs,tcp,443,2125244
example_domain\isaac.garcia,jamf,,management,tcp,443,1898743
example_domain\isaac.garcia,openai-base,openai,artificial-intelligence,tcp,443,792726
example_domain\isaac.garcia,twitter-base,twitter,social-networking,tcp,443,658513
example_domain\isaac.garcia,stackoverflow-base,stackoverflow,social-networking,tcp,443,354696
example_domain\isaac.garcia,facebook-base,facebook,social-networking,tcp,443,335194
example_domain\isaac.garcia,pagerduty,,management,tcp,443,308455
example_domain\isaac.garcia,linkedin-base,linkedin,social-networking,tcp,443,268258
example_domain\isaac.garcia,bing-maps,,internet-utility,tcp,443,145161
example_domain\isaac.garcia,github-base,github,management,tcp,443,144763
example_domain\john.jones,outlook-web-online,ms-office365,email,tcp,443,1.48E+11
example_domain\john.jones,web-browsing,,internet-utility,tcp,443,274048094
example_domain\john.jones,ssl,,encrypted-tunnel,tcp,443,262569006
example_domain\john.jones,sharepoint-online,ms-office365,social-business,tcp,443,237165723
example_domain\john.jones,ms-teams,ms-office365,office-programs,tcp,443,211021983
example_domain\john.jones,smartsheet-base,smartsheet,social-business,tcp,443,206659079
example_domain\john.jones,zoom-meeting,zoom,internet-conferencing,tcp,443,123244149
example_domain\john.jones,google-base,,internet-utility,tcp,443,119589645
example_domain\john.jones,giphy-base,giphy,photo-video,tcp,443,37258877
example_domain\john.jones,zoom-base,zoom,internet-conferencing,tcp,443,14312490
example_domain\john.jones,windows-push-notifications,,internet-utility,tcp,443,4675570
example_domain\john.jones,zoom-phone,zoom,internet-conferencing,tcp,443,3805863
example_domain\john.jones,websocket,,internet-utility,tcp,443,3418074
example_domain\john.jones,ms-delve,,office-programs,tcp,443,2582826
example_domain\john.jones,workday-base,workday,general-business,tcp,443,2376742
example_domain\john.jones,youtube-base,youtube,photo-video,tcp,443,968030
example_domain\john.jones,ms-onedrive-business,ms-office365,file-sharing,tcp,443,673190
example_domain\john.jones,microsoft-intune,,it-management,tcp,443,425573
example_domain\john.jones,stun,,infrastructure,tcp,443,395319
example_domain\john.jones,ms-office365-base,ms-office365,office-programs,tcp,443,309822
example_domain\john.jones,linkedin-base,linkedin,social-networking,tcp,443,285584
example_domain\john.jones,facebook-base,facebook,social-networking,tcp,443,191114
example_domain\john.jones,boxnet-base,boxnet,file-sharing,tcp,443,71841
example_domain\john.jones,pingone,,auth-service,tcp,443,71448
example_domain\penny.hester,outlook-web-online,ms-office365,email,tcp,443,99688821541
example_domain\penny.hester,ssl,,encrypted-tunnel,tcp,443,12753835924
example_domain\penny.hester,web-browsing,,internet-utility,tcp,443,1474592483
example_domain\penny.hester,sharepoint-online,ms-office365,social-business,tcp,443,369416714
example_domain\penny.hester,crowdstrike,,management,tcp,443,297145889
example_domain\penny.hester,rtp-audio,rtp,audio-streaming,udp,6000,281145210
example_domain\penny.hester,ms-update,,software-update,tcp,443,195073645
example_domain\penny.hester,stun,,infrastructure,tcp,443,145632155
example_domain\penny.hester,google-base,,internet-utility,tcp,443,136544285
example_domain\penny.hester,github-base,github,management,tcp,443,113820545
example_domain\penny.hester,ms-teams,ms-office365,office-programs,tcp,443,105678686
example_domain\penny.hester,azure-log-analytics,windows-azure,general-business,tcp,443,76446573
example_domain\penny.hester,microsoft-intune,,it-management,tcp,443,35940010
example_domain\penny.hester,new-relic,,management,tcp,443,13924704
example_domain\penny.hester,websocket,,internet-utility,tcp,443,11872262
example_domain\penny.hester,windows-push-notifications,,internet-utility,tcp,443,11583530
example_domain\penny.hester,service-now-base,service-now,management,tcp,443,11397551
example_domain\penny.hester,http-video,,photo-video,tcp,443,9061950
example_domain\penny.hester,youtube-base,youtube,photo-video,tcp,443,8409560
example_domain\penny.hester,google-app-engine,,internet-utility,tcp,443,4410729
example_domain\penny.hester,ms-onedrive-business,ms-office365,file-sharing,tcp,443,4399402
example_domain\penny.hester,ms-delve,,office-programs,tcp,443,3975518
example_domain\penny.hester,amazon-aws-console,,management,tcp,443,3733800
