Source User,Category,Count
example_domain\william.arnold,computer-and-internet-info,564720
example_domain\william.arnold,internet-portals,3901
example_domain\william.arnold,search-engines,3243
example_domain\william.arnold,content-delivery-networks,2718
example_domain\william.arnold,web-advertisements,623
example_domain\william.arnold,business-and-economy,571
example_domain\william.arnold,stock-advice-and-tools,434
example_domain\william.arnold,,353
example_domain\william.arnold,shareware-and-freeware,24
example_domain\william.arnold,personal-sites-and-blogs,19
example_domain\william.arnold,insufficient-content,9
example_domain\william.arnold,financial-services,9
example_domain\william.arnold,shopping,4
example_domain\william.arnold,entertainment-and-arts,3
example_domain\william.arnold,travel,2
example_domain\william.arnold,society,2
example_domain\william.arnold,unknown,2
example_domain\william.arnold,games,1
example_domain\william.arnold,internet-communications-and-telephony,1
example_domain\william.arnold,news,1
example_domain\richard.clark,computer-and-internet-info,284211
example_domain\richard.clark,web-advertisements,122009
example_domain\richard.clark,business-and-economy,71075
example_domain\richard.clark,stock-advice-and-tools,20052
example_domain\richard.clark,content-delivery-networks,9859
example_domain\richard.clark,search-engines,5587
example_domain\richard.clark,entertainment-and-arts,1386
example_domain\richard.clark,motor-vehicles,1286
example_domain\richard.clark,insufficient-content,588
example_domain\richard.clark,society,329
example_domain\richard.clark,internet-portals,197
example_domain\richard.clark,shopping,104
example_domain\richard.clark,music,71
example_domain\richard.clark,news,50
example_domain\richard.clark,job-search,39
example_domain\richard.clark,training-and-tools,38
example_domain\richard.clark,internet-communications-and-telephony,17
example_domain\richard.clark,web-hosting,17
example_domain\richard.clark,reference-and-research,13
example_domain\richard.clark,travel,12
example_domain\richard.clark,games,7
example_domain\richard.clark,personal-sites-and-blogs,7
example_domain\richard.clark,social-networking,7
example_domain\richard.clark,government,6
example_domain\richard.clark,not-resolved,4
example_domain\richard.clark,health-and-medicine,3
example_domain\richard.clark,financial-services,3
example_domain\richard.clark,,2
example_domain\richard.clark,streaming-media,2
example_domain\richard.clark,shareware-and-freeware,1
example_domain\richard.clark,educational-institutions,1
example_domain\richard.clark,sports,1
example_domain\richard.clark,philosophy-and-political-advocacy,1
example_domain\amber.spencer,computer-and-internet-info,345436
example_domain\amber.spencer,search-engines,3143
example_domain\amber.spencer,content-delivery-networks,241
example_domain\amber.spencer,stock-advice-and-tools,231
example_domain\amber.spencer,internet-portals,215
example_domain\amber.spencer,web-advertisements,32
example_domain\amber.spencer,business-and-economy,15
example_domain\amber.spencer,unknown,8
example_domain\amber.spencer,internet-communications-and-telephony,4
example_domain\benjamin.wright,computer-and-internet-info,323690
example_domain\benjamin.wright,business-and-economy,8781
example_domain\benjamin.wright,search-engines,4692
example_domain\benjamin.wright,web-advertisements,1533
example_domain\benjamin.wright,content-delivery-networks,933
example_domain\benjamin.wright,shareware-and-freeware,776
example_domain\benjamin.wright,internet-portals,264
example_domain\benjamin.wright,stock-advice-and-tools,165
example_domain\benjamin.wright,shopping,164
example_domain\benjamin.wright,web-hosting,140
example_domain\benjamin.wright,personal-sites-and-blogs,46
example_domain\benjamin.wright,reference-and-research,40
example_domain\benjamin.wright,translation,30
example_domain\benjamin.wright,news,27
example_domain\benjamin.wright,insufficient-content,12
example_domain\benjamin.wright,recreation-and-hobbies,10
example_domain\benjamin.wright,not-resolved,9
example_domain\benjamin.wright,travel,5
example_domain\benjamin.wright,society,4
example_domain\benjamin.wright,training-and-tools,4
example_domain\benjamin.wright,motor-vehicles,3
example_domain\benjamin.wright,streaming-media,2
example_domain\benjamin.wright,job-search,2
example_domain\benjamin.wright,internet-communications-and-telephony,2
example_domain\benjamin.wright,games,2
example_domain\benjamin.wright,entertainment-and-arts,2
example_domain\benjamin.wright,social-networking,1
example_domain\benjamin.wright,music,1
example_domain\benjamin.wright,private-ip-addresses,1
example_domain\mark.rodriguez,computer-and-internet-info,314019
example_domain\mark.rodriguez,search-engines,3235
example_domain\mark.rodriguez,insufficient-content,1603
example_domain\mark.rodriguez,business-and-economy,1158
example_domain\mark.rodriguez,stock-advice-and-tools,876
example_domain\mark.rodriguez,content-delivery-networks,269
example_domain\mark.rodriguez,internet-portals,84
example_domain\mark.rodriguez,,61
example_domain\mark.rodriguez,financial-services,54
example_domain\mark.rodriguez,web-advertisements,38
example_domain\mark.rodriguez,internet-communications-and-telephony,37
example_domain\mark.rodriguez,web-hosting,18
example_domain\mark.rodriguez,shareware-and-freeware,15
example_domain\mark.rodriguez,news,3
example_domain\mark.rodriguez,training-and-tools,2
example_domain\mark.rodriguez,reference-and-research,1
example_domain\dylan.cole,computer-and-internet-info,271747
example_domain\dylan.cole,web-advertisements,15064
example_domain\dylan.cole,business-and-economy,11154
example_domain\dylan.cole,search-engines,6559
example_domain\dylan.cole,financial-services,4739
example_domain\dylan.cole,content-delivery-networks,1848
example_domain\dylan.cole,news,1270
example_domain\dylan.cole,internet-portals,1243
example_domain\dylan.cole,insufficient-content,689
example_domain\dylan.cole,stock-advice-and-tools,590
example_domain\dylan.cole,job-search,301
example_domain\dylan.cole,shopping,74
example_domain\dylan.cole,music,56
example_domain\dylan.cole,reference-and-research,51
example_domain\dylan.cole,entertainment-and-arts,47
example_domain\dylan.cole,travel,46
example_domain\dylan.cole,internet-communications-and-telephony,39
example_domain\dylan.cole,training-and-tools,32
example_domain\dylan.cole,streaming-media,24
example_domain\dylan.cole,personal-sites-and-blogs,11
example_domain\dylan.cole,motor-vehicles,10
example_domain\dylan.cole,real-estate,5
example_domain\dylan.cole,not-resolved,5
example_domain\dylan.cole,sports,4
example_domain\dylan.cole,society,4
example_domain\dylan.cole,web-hosting,3
example_domain\dylan.cole,educational-institutions,3
example_domain\dylan.cole,government,3
example_domain\dylan.cole,translation,2
example_domain\dylan.cole,legal,2
example_domain\dylan.cole,health-and-medicine,1
example_domain\dylan.cole,,1
example_domain\dylan.cole,shareware-and-freeware,1
example_domain\timothy.mckay,computer-and-internet-info,283869
example_domain\timothy.mckay,web-advertisements,8223
example_domain\timothy.mckay,business-and-economy,7004
example_domain\timothy.mckay,search-engines,4267
example_domain\timothy.mckay,content-delivery-networks,1211
example_domain\timothy.mckay,stock-advice-and-tools,712
example_domain\timothy.mckay,internet-portals,236
example_domain\timothy.mckay,training-and-tools,179
example_domain\timothy.mckay,streaming-media,178
example_domain\timothy.mckay,news,119
example_domain\timothy.mckay,insufficient-content,108
example_domain\timothy.mckay,society,96
example_domain\timothy.mckay,music,64
example_domain\timothy.mckay,games,52
example_domain\timothy.mckay,internet-communications-and-telephony,43
example_domain\timothy.mckay,motor-vehicles,39
example_domain\timothy.mckay,shopping,29
example_domain\timothy.mckay,personal-sites-and-blogs,28
example_domain\timothy.mckay,shareware-and-freeware,23
example_domain\timothy.mckay,reference-and-research,13
example_domain\timothy.mckay,travel,12
example_domain\timothy.mckay,entertainment-and-arts,10
example_domain\timothy.mckay,financial-services,8
example_domain\timothy.mckay,parked,2
example_domain\timothy.mckay,job-search,2
example_domain\timothy.mckay,web-hosting,2
example_domain\timothy.mckay,health-and-medicine,2
example_domain\timothy.mckay,legal,2
example_domain\timothy.mckay,philosophy-and-political-advocacy,1
example_domain\timothy.mckay,real-estate,1
example_domain\timothy.mckay,educational-institutions,1
example_domain\christopher.cruz,computer-and-internet-info,291488
example_domain\christopher.cruz,business-and-economy,6503
example_domain\christopher.cruz,search-engines,4717
example_domain\christopher.cruz,internet-portals,548
example_domain\christopher.cruz,content-delivery-networks,530
example_domain\christopher.cruz,web-advertisements,394
example_domain\christopher.cruz,stock-advice-and-tools,167
example_domain\christopher.cruz,financial-services,84
example_domain\christopher.cruz,news,51
example_domain\christopher.cruz,web-hosting,27
example_domain\christopher.cruz,,24
example_domain\christopher.cruz,internet-communications-and-telephony,22
example_domain\christopher.cruz,government,15
example_domain\christopher.cruz,training-and-tools,10
example_domain\christopher.cruz,insufficient-content,8
example_domain\christopher.cruz,society,7
example_domain\christopher.cruz,legal,6
