Source User,Category,Verdict,AD Group,Count
example_domain\william.arnold,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,564720
example_domain\william.arnold,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,3901
example_domain\william.arnold,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,3243
example_domain\william.arnold,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,2718
example_domain\william.arnold,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,623
example_domain\william.arnold,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,571
example_domain\william.arnold,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,434
example_domain\william.arnold,,The category is not a standard Palo Alto content/function-based category,irrelevant,353
example_domain\william.arnold,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,24
example_domain\william.arnold,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,19
example_domain\william.arnold,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,9
example_domain\william.arnold,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,9
example_domain\william.arnold,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\william.arnold,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\william.arnold,travel,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\william.arnold,society,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\william.arnold,unknown,The URL category is going to be allowed provided the user is in the respective AD group,UG-unknown,2
example_domain\william.arnold,games,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\william.arnold,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\william.arnold,news,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\richard.clark,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,284211
example_domain\richard.clark,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,122009
example_domain\richard.clark,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,71075
example_domain\richard.clark,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,20052
example_domain\richard.clark,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,9859
example_domain\richard.clark,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,5587
example_domain\richard.clark,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,1386
example_domain\richard.clark,motor-vehicles,The URL category is going to be allowed provided the user is authenticated,known-user,1286
example_domain\richard.clark,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,588
example_domain\richard.clark,society,The URL category is going to be allowed provided the user is authenticated,known-user,329
example_domain\richard.clark,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,197
example_domain\richard.clark,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,104
example_domain\richard.clark,music,The URL category is going to be allowed provided the user is authenticated,known-user,71
example_domain\richard.clark,news,The URL category is going to be allowed provided the user is authenticated,known-user,50
example_domain\richard.clark,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,39
example_domain\richard.clark,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,38
example_domain\richard.clark,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,17
example_domain\richard.clark,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,17
example_domain\richard.clark,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,13
example_domain\richard.clark,travel,The URL category is going to be allowed provided the user is authenticated,known-user,12
example_domain\richard.clark,games,The URL category is going to be allowed provided the user is authenticated,known-user,7
example_domain\richard.clark,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,7
example_domain\richard.clark,social-networking,The URL category is going to be allowed provided the user is authenticated,known-user,7
example_domain\richard.clark,government,The URL category is going to be allowed provided the user is authenticated,known-user,6
example_domain\richard.clark,not-resolved,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\richard.clark,health-and-medicine,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\richard.clark,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\richard.clark,,The category is not a standard Palo Alto content/function-based category,irrelevant,2
example_domain\richard.clark,streaming-media,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\richard.clark,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\richard.clark,educational-institutions,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\richard.clark,sports,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\richard.clark,philosophy-and-political-advocacy,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\amber.spencer,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,345436
example_domain\amber.spencer,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,3143
example_domain\amber.spencer,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,241
example_domain\amber.spencer,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,231
example_domain\amber.spencer,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,215
example_domain\amber.spencer,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,32
example_domain\amber.spencer,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,15
example_domain\amber.spencer,unknown,The URL category is going to be allowed provided the user is in the respective AD group,UG-unknown,8
example_domain\amber.spencer,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\benjamin.wright,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,323690
example_domain\benjamin.wright,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,8781
example_domain\benjamin.wright,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,4692
